Order_ID,Buyer_ID,Supplier_ID,Product_Category,Quantity_Ordered,Order_Date,Dispatch_Date,Delivery_Date,Shipping_Mode,Order_Value_USD,Delay_Days,Disruption_Type,Disruption_Severity,Historical_Disruption_Count,Supplier_Reliability_Score,Organization_ID,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Supply_Risk_Flag
O1018,B22,S8,Electronics,735,2023-11-05,2023-11-07,2023-11-14,Sea,7571.09,2,Customs,Low,13,0.71,Org3,0,852,1,7,0.3278,2.36,151.74,1
O1019,B36,S18,Textiles,788,2023-07-02,2023-07-04,2023-07-12,Air,37794.68,5,Customs,Medium,7,0.51,Org12,0,449,1,9,0.1616,1.65,431.02,1
O1020,B37,S24,Pharma,416,2023-10-15,2023-10-17,2023-11-01,Road,38561.68,10,Strike,High,9,0.74,Org4,0,746,1,8,0.307,0.55,188.85,1
O1021,B31,S9,Machinery,778,2023-11-03,2023-11-06,2023-11-12,Road,33097.76,0,None,None,6,0.51,Org11,0,579,0,3,0.2666,1.74,496.35,0
O1022,B50,S21,Textiles,823,2023-10-27,2023-10-30,2023-11-05,Sea,38422.74,2,Weather,Low,16,0.91,Org14,1,102,1,1,0.022,0.99,67.38,1
O1023,B41,S12,Electronics,622,2023-03-23,2023-03-24,2023-04-03,Air,42373.11,7,Customs,Low,3,0.91,Org11,0,201,1,2,0.3974,3.47,107.72,1
O1024,B23,S21,Electronics,414,2023-07-30,2023-08-03,2023-08-12,Rail,30873.4,1,Strike,Low,12,0.89,Org16,0,112,0,2,0.0158,1.94,151.09,1
O1025,B6,S7,Food,355,2023-05-30,2023-06-02,2023-06-06,Air,4885.93,3,Strike,Low,3,0.64,Org8,0,405,0,4,0.1536,3.95,415.0,1
O1026,B37,S23,Food,631,2023-02-06,2023-02-10,2023-02-14,Road,24637.58,3,Strike,Low,4,0.92,Org9,0,16,0,6,0.0129,1.43,445.33,1
O1027,B23,S10,Pharma,429,2023-12-18,2023-12-20,2023-12-27,Road,4343.64,0,None,None,3,0.77,Org18,0,649,1,4,0.1943,4.55,82.15,0
O1028,B14,S7,Textiles,191,2023-11-08,2023-11-12,2023-11-18,Air,20673.38,2,Strike,Low,17,0.69,Org9,0,576,1,9,0.0409,2.85,64.61,1
O1029,B39,S16,Textiles,992,2023-12-27,2023-12-30,2024-01-08,Air,20651.77,7,Shortage,High,5,0.81,Org16,0,240,0,4,0.4576,1.02,385.05,1
O1030,B34,S3,Food,834,2023-02-28,2023-03-02,2023-03-13,Rail,3767.49,7,Strike,Low,1,0.51,Org11,1,883,1,6,0.2137,2.3,110.01,1
O1031,B35,S16,Textiles,10,2023-05-11,2023-05-14,2023-05-18,Rail,17766.62,1,Customs,Low,10,0.57,Org3,1,583,0,6,0.2352,1.43,109.85,1
O1032,B2,S11,Textiles,840,2023-07-21,2023-07-25,2023-07-29,Air,5994.41,2,Customs,High,13,0.87,Org20,0,249,1,10,0.1814,1.4,60.06,1
O1033,B4,S2,Electronics,959,2023-08-31,2023-09-04,2023-09-09,Air,40507.64,0,None,None,4,0.62,Org2,1,99,1,10,0.3175,2.78,72.41,0
O1034,B41,S20,Food,576,2023-02-04,2023-02-08,2023-02-10,Air,47410.56,0,None,None,5,0.8,Org5,0,241,1,1,0.3944,3.52,168.65,0
O1035,B32,S16,Machinery,380,2023-04-03,2023-04-07,2023-04-12,Air,4079.67,0,None,None,9,0.69,Org19,0,466,1,8,0.3276,4.6,79.25,0
O1036,B4,S17,Food,945,2023-07-26,2023-07-30,2023-08-06,Sea,47778.2,1,Customs,Low,7,0.93,Org10,0,242,1,3,0.3766,2.76,216.0,1
O1037,B37,S6,Machinery,920,2023-12-19,2023-12-20,2023-12-25,Air,26367.54,1,Customs,Medium,13,0.98,Org19,0,363,1,6,0.4539,4.85,424.75,1
O1038,B13,S12,Electronics,670,2023-11-28,2023-11-29,2023-11-30,Rail,15328.5,0,None,None,2,0.94,Org11,0,342,1,3,0.4331,4.74,196.84,0
O1039,B11,S27,Pharma,440,2023-11-01,2023-11-05,2023-11-15,Road,4304.67,1,Strike,High,11,0.64,Org20,1,448,1,2,0.3403,4.39,377.53,1
O1040,B35,S14,Textiles,978,2023-12-16,2023-12-20,2024-01-06,Sea,25280.9,10,Weather,Low,15,0.6,Org18,0,384,0,5,0.1152,2.75,92.26,1
O1041,B4,S7,Electronics,318,2023-08-01,2023-08-05,2023-08-10,Air,39828.52,3,Shortage,High,16,0.74,Org1,1,301,0,1,0.3225,1.13,346.72,1
O1042,B45,S20,Textiles,146,2023-06-08,2023-06-09,2023-06-17,Road,35500.78,0,None,None,0,0.5,Org13,0,354,1,9,0.258,1.48,192.54,0
O1043,B7,S5,Pharma,211,2023-01-24,2023-01-27,2023-02-02,Sea,2986.19,2,Shortage,Low,9,0.51,Org4,1,673,1,7,0.3614,3.41,387.39,1
O1044,B26,S1,Pharma,445,2023-10-20,2023-10-23,2023-10-31,Road,4108.64,0,None,None,9,0.78,Org17,0,437,1,3,0.4181,2.4,111.31,0
O1045,B29,S16,Electronics,322,2023-01-04,2023-01-08,2023-01-16,Air,20442.23,2,Weather,Low,1,0.76,Org3,0,666,1,4,0.3739,1.16,454.05,1
O1046,B21,S1,Pharma,126,2023-08-08,2023-08-10,2023-08-14,Air,15116.88,0,None,None,8,1.0,Org6,0,139,1,6,0.4248,2.66,159.16,0
O1047,B48,S15,Machinery,675,2023-12-30,2024-01-03,2024-01-14,Rail,12003.02,3,Strike,Low,12,0.6,Org8,0,150,1,3,0.0413,0.58,208.91,1
O1048,B4,S18,Pharma,946,2023-01-20,2023-01-24,2023-01-29,Air,14409.72,1,Shortage,Medium,15,0.63,Org17,0,424,1,7,0.0255,3.8,477.58,1
O1049,B29,S3,Textiles,812,2023-06-01,2023-06-05,2023-06-13,Air,40272.4,3,Strike,Low,17,0.56,Org17,1,102,1,6,0.1367,0.83,310.32,1
O1050,B49,S2,Textiles,584,2023-02-19,2023-02-21,2023-02-28,Sea,46496.79,0,None,None,18,0.96,Org10,0,635,1,9,0.4513,3.33,214.6,0
O1051,B22,S7,Textiles,253,2023-06-26,2023-06-28,2023-06-30,Rail,20552.58,0,None,None,11,0.89,Org10,1,293,1,5,0.4136,4.07,477.32,0
O1052,B3,S9,Textiles,546,2023-04-06,2023-04-08,2023-04-18,Sea,45352.49,3,Shortage,Low,7,0.91,Org12,0,965,1,4,0.3445,1.1,198.08,1
O1053,B34,S4,Machinery,611,2023-04-15,2023-04-18,2023-04-21,Road,16414.04,1,Strike,Low,16,0.95,Org3,1,932,1,3,0.3534,2.83,92.69,1
O1054,B20,S17,Food,84,2023-09-07,2023-09-11,2023-09-13,Air,24083.63,1,Shortage,Low,14,0.76,Org5,0,664,1,10,0.3661,4.01,498.58,1
O1055,B3,S30,Electronics,815,2023-04-27,2023-04-28,2023-05-16,Road,11688.44,10,Weather,High,9,0.73,Org3,0,232,0,1,0.4719,1.67,170.53,1
O1056,B21,S21,Textiles,395,2023-12-20,2023-12-23,2024-01-11,Sea,32203.56,10,Weather,High,14,0.67,Org14,1,753,0,3,0.4178,1.23,433.07,1
O1057,B40,S5,Pharma,912,2023-08-16,2023-08-20,2023-08-29,Air,48959.57,5,Weather,Medium,14,0.79,Org1,0,472,1,3,0.3155,2.02,124.49,1
O1058,B25,S1,Textiles,219,2023-03-07,2023-03-11,2023-03-18,Air,30372.91,1,Shortage,Medium,6,0.73,Org6,0,554,1,7,0.3362,3.0,379.11,1
O1059,B24,S29,Pharma,484,2023-12-01,2023-12-02,2023-12-07,Sea,18211.8,3,Shortage,Low,12,0.73,Org18,0,285,1,7,0.1147,3.09,286.0,1
O1060,B17,S13,Pharma,427,2023-09-19,2023-09-20,2023-10-01,Sea,32566.96,3,Weather,Low,16,0.97,Org7,0,691,1,1,0.3321,1.09,491.41,1
O1061,B6,S8,Textiles,356,2023-10-22,2023-10-25,2023-11-01,Sea,6584.57,2,Shortage,Medium,8,0.99,Org10,0,149,1,3,0.2181,2.56,298.77,1
O1062,B12,S8,Machinery,538,2023-08-31,2023-09-04,2023-09-09,Sea,44488.62,0,None,None,7,0.9,Org10,1,366,1,8,0.085,1.71,61.26,0
O1063,B49,S2,Pharma,649,2023-07-05,2023-07-07,2023-07-17,Sea,25402.66,1,Weather,High,19,0.88,Org19,0,722,0,9,0.4051,4.29,321.75,1
O1064,B5,S5,Pharma,948,2023-09-03,2023-09-04,2023-09-10,Air,22742.81,5,Shortage,High,17,0.84,Org11,0,32,1,7,0.26,1.91,115.39,1
O1065,B31,S4,Textiles,964,2023-05-05,2023-05-07,2023-05-13,Sea,29500.31,2,Strike,Low,12,0.58,Org11,0,977,1,7,0.4889,4.27,409.34,1
O1066,B24,S13,Pharma,885,2023-09-25,2023-09-27,2023-10-06,Air,31426.8,2,Strike,Low,15,0.53,Org14,0,745,0,8,0.148,2.43,435.46,1
O1067,B33,S12,Pharma,772,2023-05-11,2023-05-15,2023-05-17,Air,4052.9,0,None,None,8,0.85,Org3,0,889,1,6,0.2455,3.77,266.94,0
O1068,B25,S29,Textiles,188,2023-08-25,2023-08-28,2023-09-02,Sea,34289.55,2,Customs,Low,11,0.86,Org3,1,279,1,3,0.2295,2.8,402.45,1
O1069,B44,S26,Textiles,191,2023-01-18,2023-01-19,2023-01-22,Sea,12475.62,0,None,None,11,0.52,Org17,0,868,1,1,0.0692,3.3,115.3,0
O1070,B15,S12,Electronics,673,2023-02-09,2023-02-13,2023-02-25,Rail,35840.66,5,Shortage,Medium,5,0.96,Org12,1,674,1,7,0.2188,2.28,271.44,1
O1071,B35,S23,Machinery,34,2023-01-21,2023-01-24,2023-02-10,Air,41215.47,10,Weather,Medium,18,0.55,Org20,0,342,1,1,0.1509,3.96,227.27,1
O1072,B12,S10,Machinery,976,2023-08-13,2023-08-17,2023-08-24,Sea,40295.95,2,Customs,Low,6,0.64,Org15,0,94,1,1,0.0886,2.41,325.09,1
O1073,B42,S27,Pharma,189,2023-12-21,2023-12-25,2024-01-04,Sea,27848.8,5,Customs,Medium,2,0.84,Org10,0,630,1,9,0.1483,2.56,70.01,1
O1074,B5,S2,Machinery,719,2023-10-09,2023-10-11,2023-10-26,Sea,26248.41,10,Customs,Medium,15,0.58,Org19,0,40,1,10,0.1243,2.83,388.46,1
O1075,B50,S28,Pharma,510,2023-01-08,2023-01-11,2023-01-20,Rail,7572.36,3,Weather,Low,17,0.53,Org19,0,750,1,7,0.3697,4.24,85.61,1
O1076,B17,S18,Electronics,865,2023-04-10,2023-04-12,2023-04-23,Rail,38879.63,10,Shortage,Low,15,0.67,Org5,0,249,1,4,0.0251,3.47,345.41,1
O1077,B12,S14,Textiles,170,2023-08-28,2023-09-01,2023-09-04,Road,13934.76,1,Weather,Medium,6,0.88,Org4,1,899,0,6,0.3126,2.07,58.31,1
O1078,B46,S24,Textiles,186,2023-03-28,2023-04-01,2023-04-08,Air,25086.42,0,None,None,3,0.71,Org19,0,372,0,1,0.3827,3.52,424.35,0
O1079,B46,S14,Textiles,294,2023-10-25,2023-10-26,2023-10-31,Road,14571.57,0,None,None,7,0.83,Org15,1,831,1,7,0.2456,3.39,128.61,0
O1080,B22,S14,Machinery,72,2023-01-14,2023-01-18,2023-01-25,Sea,7124.5,1,Customs,Low,12,0.79,Org20,0,398,0,6,0.4665,4.69,281.97,1
O1081,B12,S8,Electronics,671,2023-11-30,2023-12-01,2023-12-05,Rail,31663.11,0,None,None,12,0.51,Org5,1,662,1,4,0.3569,4.29,167.67,0
O1082,B45,S15,Machinery,675,2023-01-02,2023-01-06,2023-01-17,Rail,3189.44,3,Weather,Low,16,0.99,Org17,1,677,1,7,0.3765,3.41,375.19,1
O1083,B40,S10,Machinery,165,2023-10-20,2023-10-24,2023-10-30,Road,37557.94,0,None,None,16,0.52,Org2,0,308,1,3,0.1065,2.04,194.61,0
O1084,B13,S2,Electronics,891,2023-11-21,2023-11-23,2023-11-28,Rail,16220.55,2,Strike,High,4,0.98,Org17,1,866,1,1,0.3909,4.01,376.07,1
O1085,B6,S2,Electronics,478,2023-02-10,2023-02-14,2023-02-18,Sea,506.67,0,None,None,5,0.77,Org16,0,380,1,4,0.4177,3.09,178.19,0
O1086,B42,S7,Electronics,58,2023-11-14,2023-11-15,2023-11-18,Rail,25800.89,1,Customs,High,18,0.98,Org8,1,108,1,3,0.187,4.93,388.61,1
O1087,B24,S14,Electronics,976,2023-11-12,2023-11-13,2023-11-14,Road,2819.17,0,None,None,12,0.56,Org10,0,56,0,1,0.1145,1.61,63.77,0
O1088,B22,S5,Textiles,858,2023-04-21,2023-04-25,2023-05-05,Sea,14170.39,5,Customs,Medium,13,0.75,Org10,0,848,0,2,0.1987,0.86,177.49,1
O1089,B1,S29,Food,93,2023-01-14,2023-01-18,2023-01-19,Road,35495.34,0,None,None,3,0.58,Org3,1,431,1,5,0.3724,0.81,274.39,0
O1090,B25,S1,Food,370,2023-08-19,2023-08-20,2023-08-24,Rail,3603.14,3,Shortage,Low,6,0.53,Org19,0,489,1,8,0.2146,3.38,70.28,1
O1091,B49,S22,Electronics,698,2023-03-25,2023-03-28,2023-03-31,Road,42047.26,0,None,None,7,0.81,Org7,0,588,0,1,0.371,4.73,133.72,0
O1092,B40,S13,Food,157,2023-05-10,2023-05-13,2023-05-15,Road,689.09,0,None,None,12,0.6,Org10,1,71,1,4,0.0656,0.51,470.54,0
O1093,B15,S18,Food,639,2023-08-19,2023-08-21,2023-08-25,Air,12717.78,0,None,None,5,0.79,Org13,0,118,1,4,0.4049,3.77,489.58,0
O1094,B32,S24,Electronics,351,2023-11-22,2023-11-23,2023-12-03,Rail,37174.75,3,Customs,Low,5,0.56,Org12,0,688,1,5,0.1341,3.46,382.89,1
O1095,B32,S25,Food,485,2023-05-25,2023-05-28,2023-06-02,Rail,16155.37,0,None,None,2,0.67,Org9,0,558,1,7,0.132,3.8,163.49,0
O1096,B10,S30,Machinery,72,2023-12-11,2023-12-12,2023-12-19,Road,5543.67,1,Weather,Low,2,0.89,Org13,0,128,1,8,0.2993,2.1,167.23,1
O1097,B20,S10,Pharma,710,2023-01-28,2023-01-31,2023-02-07,Air,18331.58,0,None,None,12,0.72,Org16,1,607,0,6,0.0444,4.19,340.61,0
O1098,B46,S12,Pharma,369,2023-03-07,2023-03-08,2023-03-12,Rail,13884.47,2,Strike,Low,1,0.81,Org7,0,391,1,1,0.0229,0.7,102.92,1
O1099,B21,S30,Electronics,570,2023-06-12,2023-06-15,2023-06-23,Sea,42214.24,0,None,None,15,0.82,Org6,0,401,1,7,0.1379,3.9,476.74,0
O1100,B3,S23,Textiles,336,2023-08-17,2023-08-21,2023-08-27,Road,16010.72,0,None,None,5,0.92,Org20,0,986,1,3,0.2737,1.7,151.17,0
O1101,B46,S17,Electronics,778,2023-09-18,2023-09-19,2023-09-24,Rail,39552.16,1,Weather,Medium,7,0.66,Org14,1,61,1,6,0.4547,2.65,499.84,1
O1102,B31,S23,Textiles,745,2023-06-13,2023-06-14,2023-06-20,Sea,44647.67,3,Customs,High,7,0.84,Org1,0,612,1,8,0.4248,4.2,273.08,1
O1103,B42,S17,Pharma,150,2023-10-28,2023-10-31,2023-11-11,Rail,21973.96,7,Strike,Medium,5,0.98,Org13,0,298,1,7,0.2503,1.72,397.14,1
O1104,B44,S10,Electronics,999,2023-10-30,2023-10-31,2023-11-16,Sea,45542.19,10,Shortage,High,13,0.87,Org6,1,346,1,10,0.0282,1.33,50.98,1
O1105,B5,S26,Machinery,224,2023-10-14,2023-10-16,2023-10-22,Road,19177.24,5,Weather,Low,2,0.74,Org2,0,819,1,6,0.2723,3.57,449.94,1
O1106,B28,S22,Food,444,2023-01-10,2023-01-13,2023-01-18,Rail,48221.88,3,Shortage,Low,9,0.82,Org2,0,213,1,9,0.3553,2.9,171.5,1
O1107,B40,S17,Textiles,900,2023-07-14,2023-07-17,2023-07-23,Rail,4919.83,1,Strike,Low,2,0.87,Org19,0,889,1,9,0.1762,2.81,350.57,1
O1108,B16,S15,Food,961,2023-04-28,2023-04-30,2023-05-02,Air,34507.45,0,None,None,11,0.81,Org6,0,247,1,1,0.0644,1.66,412.86,0
O1109,B34,S16,Food,732,2023-09-27,2023-10-01,2023-10-07,Road,24943.8,0,None,None,16,0.51,Org1,0,391,1,1,0.1465,0.66,123.87,0
O1110,B38,S26,Electronics,327,2023-03-21,2023-03-24,2023-03-25,Sea,19688.62,0,None,None,4,0.6,Org8,0,676,1,1,0.3881,2.35,249.13,0
O1111,B12,S15,Food,41,2023-04-03,2023-04-05,2023-04-10,Rail,31819.24,0,None,None,19,0.91,Org10,1,761,1,8,0.1821,0.98,272.23,0
O1112,B32,S9,Machinery,679,2023-09-23,2023-09-26,2023-09-29,Rail,35340.93,0,None,None,8,0.64,Org12,0,145,1,10,0.4079,4.58,190.45,0
O1113,B43,S1,Food,294,2023-11-28,2023-11-30,2023-12-03,Sea,715.98,1,Weather,Medium,19,0.87,Org8,1,416,1,7,0.1666,0.69,266.79,1
O1114,B26,S28,Electronics,314,2023-12-16,2023-12-17,2023-12-20,Road,8764.18,0,None,None,6,0.69,Org9,0,517,0,3,0.0901,2.44,192.9,0
O1115,B33,S22,Machinery,438,2023-12-27,2023-12-29,2024-01-02,Air,35795.78,0,None,None,3,0.76,Org4,1,371,0,2,0.2236,0.74,212.34,0
O1116,B32,S26,Pharma,486,2023-09-14,2023-09-15,2023-10-04,Air,33486.08,10,Shortage,Low,12,0.53,Org3,1,390,1,4,0.2316,0.93,351.2,1
O1117,B43,S13,Food,295,2023-05-13,2023-05-16,2023-05-20,Rail,48319.35,1,Weather,High,12,0.59,Org1,0,890,1,3,0.0179,3.46,334.67,1
O1118,B6,S18,Electronics,153,2023-10-03,2023-10-07,2023-10-16,Sea,38171.37,2,Shortage,High,9,0.98,Org20,0,585,1,7,0.0674,3.41,154.52,1
O1119,B1,S13,Pharma,433,2023-09-21,2023-09-22,2023-09-28,Rail,47563.25,0,None,None,17,0.95,Org2,0,644,1,10,0.1006,0.65,453.87,0
O1120,B38,S12,Pharma,28,2023-06-20,2023-06-22,2023-07-07,Sea,35275.75,10,Weather,Medium,16,0.83,Org5,1,263,0,8,0.0657,0.51,438.25,1
O1121,B14,S3,Textiles,27,2023-01-01,2023-01-02,2023-01-03,Air,15253.58,0,None,None,19,0.73,Org2,1,486,1,6,0.1773,0.85,279.09,0
O1122,B39,S13,Machinery,778,2023-11-09,2023-11-11,2023-11-16,Road,5715.56,2,Shortage,Medium,19,0.84,Org17,0,123,1,3,0.4827,3.93,244.96,1
O1123,B8,S11,Food,599,2023-03-05,2023-03-08,2023-03-10,Sea,39200.28,0,None,None,12,0.81,Org16,0,29,0,6,0.2595,3.13,219.59,0
O1124,B25,S8,Electronics,380,2023-10-11,2023-10-12,2023-10-15,Air,32385.39,0,None,None,16,0.78,Org2,0,537,1,2,0.3175,0.67,368.27,0
O1125,B45,S22,Textiles,184,2023-05-01,2023-05-04,2023-05-17,Rail,2885.21,10,Weather,High,3,0.53,Org5,1,154,1,7,0.1846,2.7,352.25,1
O1126,B1,S16,Machinery,203,2023-04-17,2023-04-21,2023-05-01,Sea,18322.5,2,Strike,Medium,0,0.82,Org2,0,217,1,10,0.1685,3.7,138.28,1
O1127,B1,S3,Textiles,511,2023-06-24,2023-06-26,2023-07-04,Road,47861.59,1,Strike,Low,0,0.88,Org18,0,540,1,7,0.0213,4.41,352.16,1
O1128,B24,S13,Machinery,997,2023-07-23,2023-07-25,2023-07-28,Rail,25269.86,0,None,None,14,1.0,Org10,0,385,1,4,0.2552,4.7,163.59,0
O1129,B2,S17,Machinery,122,2023-06-14,2023-06-15,2023-06-16,Rail,21920.09,0,None,None,12,0.51,Org14,0,513,1,8,0.247,1.97,58.35,0
O1130,B41,S18,Food,123,2023-11-01,2023-11-02,2023-11-07,Air,23156.13,0,None,None,16,0.87,Org18,1,913,1,4,0.0873,1.11,364.64,0
O1131,B43,S5,Machinery,231,2023-04-30,2023-05-02,2023-05-10,Sea,10839.69,2,Shortage,Medium,7,0.79,Org19,0,175,0,7,0.3845,1.57,340.16,1
O1132,B32,S23,Textiles,687,2023-02-13,2023-02-15,2023-02-20,Rail,18751.0,3,Strike,Low,17,0.72,Org20,0,559,1,4,0.2514,3.99,234.86,1
O1133,B22,S16,Machinery,956,2023-11-08,2023-11-09,2023-11-10,Road,18805.76,0,None,None,12,0.56,Org19,0,190,1,5,0.1761,4.87,286.56,0
O1134,B33,S8,Food,840,2023-06-05,2023-06-09,2023-06-14,Sea,3091.57,0,None,None,13,0.7,Org15,0,870,1,7,0.082,2.6,476.23,0
O1135,B34,S1,Food,653,2023-07-26,2023-07-28,2023-07-29,Road,38494.6,0,None,None,7,0.68,Org20,0,626,1,10,0.2806,1.87,317.84,0
O1136,B20,S22,Textiles,906,2023-04-18,2023-04-20,2023-04-26,Rail,21116.97,3,Weather,High,7,0.65,Org11,1,621,1,3,0.3789,2.43,346.05,1
O1137,B39,S30,Pharma,273,2023-09-08,2023-09-12,2023-09-18,Road,41197.9,3,Strike,High,14,0.87,Org4,1,611,1,10,0.1482,1.87,78.76,1
O1138,B45,S20,Pharma,934,2023-11-30,2023-12-04,2023-12-08,Air,42592.23,0,None,None,12,0.85,Org15,0,936,0,5,0.1172,1.65,124.7,0
O1139,B49,S19,Machinery,64,2023-05-10,2023-05-13,2023-05-21,Road,10993.71,2,Strike,Low,6,0.79,Org13,0,821,1,3,0.2657,3.17,185.43,1
O1140,B35,S3,Electronics,880,2023-10-20,2023-10-22,2023-10-26,Sea,33039.0,0,None,None,4,0.97,Org10,1,453,1,5,0.0861,0.57,292.72,0
O1141,B21,S22,Machinery,652,2023-01-20,2023-01-22,2023-01-27,Road,23877.95,0,None,None,16,0.67,Org7,0,341,1,3,0.3366,1.67,399.47,0
O1142,B22,S23,Textiles,809,2023-10-09,2023-10-11,2023-10-18,Road,44067.76,0,None,None,15,0.62,Org5,0,512,1,10,0.3066,3.48,194.56,0
O1143,B15,S7,Textiles,787,2023-10-12,2023-10-16,2023-10-21,Air,11179.16,1,Shortage,Medium,1,0.83,Org4,1,922,1,7,0.0527,0.64,210.37,1
O1144,B33,S24,Textiles,467,2023-01-01,2023-01-04,2023-01-14,Road,34051.75,2,Shortage,Medium,17,0.6,Org13,1,88,1,1,0.0279,0.87,165.27,1
O1145,B34,S19,Textiles,988,2023-04-29,2023-05-03,2023-05-05,Road,30583.73,0,None,None,16,0.66,Org14,1,594,1,9,0.3139,1.82,164.57,0
O1146,B47,S8,Textiles,887,2023-02-04,2023-02-08,2023-02-19,Rail,15117.42,5,Weather,Low,6,0.61,Org12,1,944,1,9,0.1542,4.45,476.99,1
O1147,B1,S11,Food,171,2023-07-17,2023-07-21,2023-07-23,Rail,7261.74,1,Shortage,High,12,0.53,Org19,1,947,1,5,0.0524,3.94,335.96,1
O1148,B29,S8,Pharma,389,2023-09-02,2023-09-03,2023-09-06,Sea,32756.17,1,Shortage,Low,17,0.91,Org4,0,697,1,9,0.3821,0.6,120.16,1
O1149,B39,S11,Textiles,96,2023-02-28,2023-03-01,2023-03-10,Rail,37060.57,0,None,None,13,0.63,Org13,0,405,1,10,0.1639,2.76,375.01,0
O1150,B29,S25,Electronics,64,2023-11-21,2023-11-23,2023-12-11,Rail,16123.55,10,Strike,Medium,17,0.74,Org12,0,617,1,6,0.2352,1.74,374.91,1
O1151,B23,S30,Electronics,485,2023-06-10,2023-06-12,2023-06-17,Rail,32419.21,0,None,None,12,0.52,Org5,0,866,1,5,0.126,3.42,349.91,0
O1152,B46,S25,Electronics,809,2023-06-28,2023-07-01,2023-07-08,Rail,20058.98,0,None,None,10,0.85,Org12,0,112,0,3,0.3174,3.75,110.62,0
O1153,B19,S11,Electronics,187,2023-07-25,2023-07-27,2023-08-06,Air,35803.74,1,Customs,Low,15,0.67,Org1,0,411,1,8,0.1577,4.38,233.6,1
O1154,B2,S13,Food,400,2023-01-12,2023-01-15,2023-01-24,Rail,10361.16,3,Shortage,Medium,16,0.87,Org17,0,984,1,4,0.4843,2.64,98.04,1
